@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 {0,1,2,3,4,5,6}

@data
27,'2017/02/07 17:15:51:285',1,0.74149,0.443191,0.138727,0.110348,0.146569,0.283093,0.462002,0.307794,0.212488,0.284211,0.251496,0.124031,0.225339,473.730469,0.006757,0.016336,?,?,?
28,'2017/02/07 17:15:51:306',1,0.88527,0.445425,0.200093,0.150861,0.064603,0.123052,0.18062,0.192551,0.220175,0.240583,0.286462,0.319264,0.302289,258.398438,0.006388,0.018542,?,?,?
29,'2017/02/07 17:15:51:327',1,0.575408,0.181669,0.069511,0.04708,-0.059367,0.132862,0.341525,0.478188,0.347185,0.40514,0.432379,0.243188,0.205215,19982.8125,0.005907,0.015694,?,?,?
30,'2017/02/07 17:15:51:347',1,0.773989,0.554865,0.278167,0.177499,0.193957,0.113177,0.222212,0.306892,0.271055,0.221643,0.224217,0.259517,0.143742,129.199219,0.005602,0.013743,?,?,?
31,'2017/02/07 17:15:51:368',1,0.745724,0.472692,0.15426,0.206804,0.080161,0.103675,0.286759,0.286056,0.188753,0.284119,0.312222,0.149827,0.207435,172.265625,0.006202,0.014558,?,?,?
32,'2017/02/07 17:15:51:389',1,0.790088,0.291768,0.133974,0.233908,0.076146,0.161983,0.20004,0.200538,0.16885,0.387419,0.410191,0.382142,0.198057,258.398438,0.005761,0.013725,?,?,?
33,'2017/02/07 17:15:51:410',1,0.667224,0.348587,0.141442,0.182051,0.078523,0.137336,0.305647,0.319489,0.181154,0.226429,0.298295,0.261992,0.255582,19982.8125,0.00683,0.016046,?,?,?
34,'2017/02/07 17:15:51:431',1,0.701137,0.5706,0.251728,0.25465,0.044328,0.149356,0.218359,0.241416,0.188919,0.210277,0.26808,0.183501,0.329643,215.332031,0.006045,0.013471,?,?,?
35,'2017/02/07 17:15:51:452',1,0.615524,0.330106,0.137146,0.115812,0.120816,0.137065,0.158379,0.129238,0.029259,0.208366,0.220549,0.314198,0.32069,19939.746094,0.007645,0.019183,?,?,?
36,'2017/02/07 17:15:51:473',1,0.744113,0.411337,0.051785,0.129254,0.233846,0.169916,0.186248,0.312819,0.424266,0.365138,0.256355,0.239163,0.253869,301.464844,0.006199,0.014957,?,?,?
